1351 4	
	   0   0   0 1.04602786
	   1   0   0 0.313808358
	   2   0   0 0.06656880537
	   0   1   0 0.313808358
	   1   1   0 1.140170367
	   2   1   0 0.4437920351
	   3   1   0 0.1153005533
	   0   2   0 0.06656880537
	   1   2   0 0.4437920351
	   2   2   0 1.234312874
	   3   2   0 0.5435320206
	   4   2   0 0.1630596058
	   1   3   0 0.1153005533
	   2   3   0 0.5435320206
	   3   3   0 1.328455382
	   4   3   0 0.6276167159
	   5   3   0 0.2105090461
	   2   4   0 0.1630596058
	   3   4   0 0.6276167159
	   4   4   0 1.42259789
	   5   4   0 0.7016968211
	   3   5   0 0.2105090461
	   4   5   0 0.7016968211
	   5   5   0 1.516740397
	   0   0   1 0.313808358
	   1   0   1 1.140170367
	   2   0   1 0.4437920351
	   3   0   1 0.1153005533
	   0   1   1 1.140170367
	   1   1   1 0.9414250739
	   2   1   1 1.81215081
	   3   1   1 0.7686703532
	   4   1   1 0.2306011065
	   0   2   1 0.4437920351
	   1   2   1 1.81215081
	   2   2   1 1.56904179
	   3   2   1 2.464011826
	   4   2   1 1.087064041
	   5   2   1 0.3646123636
	   0   3   1 0.1153005533
	   1   3   1 0.7686703532
	   2   3   1 2.464011826
	   3   3   1 2.196658506
	   4   3   1 3.127623302
	   5   3   1 1.403393639
	   1   4   1 0.2306011065
	   2   4   1 1.087064041
	   3   4   1 3.127623302
	   4   4   1 2.824275222
	   5   4   1 3.812552725
	   2   5   1 0.3646123636
	   3   5   1 1.403393639
	   4   5   1 3.812552725
	   5   5   1 3.451891938
	   0   0   2 0.06656880537
	   1   0   2 0.4437920351
	   2   0   2 1.234312874
	   3   0   2 0.5435320206
	   4   0   2 0.1630596058
	   0   1   2 0.4437920351
	   1   1   2 1.81215081
	   2   1   2 1.56904179
	   3   1   2 2.464011826
	   4   1   2 1.087064041
	   5   1   2 0.3646123636
	   0   2   2 1.234312874
	   1   2   2 1.56904179
	   2   2   2 3.957145648
	   3   2   2 3.074681416
	   4   2   2 3.945841149
	   5   2   2 1.718799166
	   0   3   2 0.5435320206
	   1   3   2 2.464011826
	   2   3   2 3.074681416
	   3   3   2 6.501553328
	   4   3   2 4.881712399
	   5   3   2 5.689468514
	   0   4   2 0.1630596058
	   1   4   2 1.087064041
	   2   4   2 3.945841149
	   3   4   2 4.881712399
	   4   4   2 9.44537383
	   5   4   2 6.946444113
	   1   5   2 0.3646123636
	   2   5   2 1.718799166
	   3   5   2 5.689468514
	   4   5   2 6.946444113
	   5   5   2 12.78860716
	   1   0   3 0.1153005533
	   2   0   3 0.5435320206
	   3   0   3 1.328455382
	   4   0   3 0.6276167159
	   5   0   3 0.2105090461
	   0   1   3 0.1153005533
	   1   1   3 0.7686703532
	   2   1   3 2.464011826
	   3   1   3 2.196658506
	   4   1   3 3.127623302
	   5   1   3 1.403393639
	   0   2   3 0.5435320206
	   1   2   3 2.464011826
	   2   2   3 3.074681416
	   3   2   3 6.501553328
	   4   2   3 4.881712399
	   5   2   3 5.689468514
	   0   3   3 1.328455382
	   1   3   3 2.196658506
	   2   3   3 6.501553328
	   3   3   3 6.918033191
	   4   3   3 12.29872567
	   5   3   3 8.593995828
	   0   4   3 0.6276167159
	   1   4   3 3.127623302
	   2   4   3 4.881712399
	   3   4   3 12.29872567
	   4   4   3 12.29872567
	   5   4   3 19.96671698
	   0   5   3 0.2105090461
	   1   5   3 1.403393639
	   2   5   3 5.689468514
	   3   5   3 8.593995828
	   4   5   3 19.96671698
	   5   5   3 19.21675886
	   2   0   4 0.1630596058
